date,product_name,tagline,upvotes,url
2025-07-15,Machined V3,Publish 30 interlinked articles in 30 minutes,249,https://www.producthunt.com/products/machined?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-15,ELMA - Ultimate Email Agent,Craft hundreds of personalized emails in seconds,237,https://www.producthunt.com/products/elma?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-15,Directory by Claude,Discover & add Claude skills easily with one-click access,231,https://www.producthunt.com/products/claude?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-15,Soshi,Your AI social media manager for X,229,https://www.producthunt.com/products/soshi-v0?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-14,OpenArt One-Click Video Story,Turn anything into ready-to-post videos with one click,900,https://www.producthunt.com/products/openart?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-14,Dualite Alpha,Local-first AI builder for mobile and web apps,785,https://www.producthunt.com/products/dualite-2?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-14,Internship,Find tech internships in your favorite startups!,363,https://www.producthunt.com/products/internship?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-14,Gizmo,"Make, share, swipe",342,https://www.producthunt.com/products/gizmo-4?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-14,Golova,Cloud software for rental businesses,191,https://www.producthunt.com/products/golova?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-14,Vogent Voicelab,Ultra-realistic text-to-speech,144,https://www.producthunt.com/products/vogent-voicelab?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-14,StreakBoost,Build better habits & transform your life for free,137,https://www.producthunt.com/products/streakboost?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-14,ai_licia For TikTok Live,Empowering communities,108,https://www.producthunt.com/products/ai_licia?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
2025-07-14,Pepsales AI, Reduce your sales cycle and crush your quota,104,https://www.producthunt.com/products/pepsales-ai-2?utm_campaign=producthunt-api&utm_medium=api-v2&utm_source=Application%3A+sokkertest+%28ID%3A+209846%29
